Description,Equation
"Equilibrium catch (abundance, age)","$C^{Neq}_{m,a,f,r,s} = \dfrac{F^{\textrm{eq}}_{m,a,f,r,s}}{Z^{\textrm{eq}}_{m,a,r,s}} (1 - \exp(-Z^{\textrm{eq}}_{y,m,a,r,s})) N^{\textrm{eq}}_{m,a,r,s}$"
Equilibrium catch (biomass),"$C^{Beq}_{m,f,r,s} = \sum_a w^F_{y=1,m,a,f,s} C^{Neq}_{m,a,f,r,s}$"
"Catch (abundance, age)","$C^N_{y,m,a,f,r,s} = \dfrac{F_{y,m,a,f,r,s}}{Z_{y,m,a,r,s}} (1 - \exp(-Z_{y,m,a,r,s})) N_{y,m,a,r,s}$"
"Catch (abundance, length)","$C^N_{y,m,l,f,r,s} = \sum_a C^N_{y,m,a,f,r,s} \textrm{Pr}(\ell\mid a)_{y,m,s}$"
Catch (biomass),"$C^B_{y,m,f,r,s} = \sum_a w^F_{y,m,a,f,s} C^N_{y,m,a,f,r,s}$"
Total biomass,"$B_{y,m,r,s} = \sum_a w_{y,m,a,s} N_{y,m,a,r,s}$"
Vulnerable biomass,"$V_{y,m,r,s} = \sum_a s_{y,m,a,f,s} w^F_{y,m,a,f,s} N_{y,m,a,r,s}$"
Index age composition,"$I^A_{y,m,a,i,s} = q_i \sum_r s_{y,m,a,i,s} N_{y,m,a,r,s} \exp(-\Delta_i \times Z_{y,m,a,r,s})\delta_{i,r,s}$"
Index length composition,"$I^L_{y,m,\ell,i,s} = \sum_a I^A_{y,m,a,i,s} \textrm{Pr}(\ell\mid a)_{y,m,s}$"
Biomass index,"$I_{y,m,i} = q_i \sum_a \sum_s w_{y,m,a,s} I^A_{y,m,a,i,s}$"
"Annual catch at age (all seasons, fleets, and regions)","$C^N_{y,a,s} = \sum_m\sum_f\sum_rC^N_{y,m,a,f,r,s}$"
Abundance at year start across regions,"$N_{y,a,s} = \sum_r N_{y,m=1,a,r,s}$"
"Summary fishing mortality per year $F_{y,a,s}$","$C^N_{y,a,s} = \dfrac{F_{y,a,s}}{F_{y,a,s} + M_{y,a,s}}(1 - \exp(-[F_{y,a,s} + M_{y,a,s}])) N_{y,a,s}$"
Parent-offspring probability,"$\textrm{Pr}(\textrm{POP} \mid y, t, a',s) = 2 \times \dfrac{f_{y,a = y - (t - a'),s}}{\sum_a f_{y,a,s}N^{\textrm{S}}_{y,a,s}}$"
Half-sibling probability,"$\textrm{Pr}(\textrm{HSP} \mid i,j,s) = 4 \times \sum_a c_{i,a,s} \times \textrm{surv}_{ijs} \times c_{j,a,s}$"
Parental probability for older sibling $i$,"$c_{i,a,s} = \dfrac{N_{y=i,a,s}f_{y=i,a,s}}{\sum_{a'}N_{y=i,a',s}f_{y=i,a',s}}$"
Parental survival from year $i$ to $j$,"$\textrm{surv}_{ijs} = \exp\left(-\sum\limits_{t=0}^{j-i-1}Z_{i+t,a+t,s}\right)$"
Parental probability for younger sibling $j$,"$c_{j,a,s} = \dfrac{f_{y=j,a,s}}{\sum_{a'}N_{y=j,a',s}f_{y=j,a',s}}$"
