Description,Equation
Index of fishing effort (instantaneous per season),"$F_{y,m,f,r}$"
Stock abundance,"$N_{y,m,a,r,s}$"
Equilibrium recruitment,"$R_{\textrm{eq},s} = \begin{cases} \dfrac{\alpha_s \phi_{eq,s} - 1}{\beta_s\phi_{eq,s}} & \textrm{Beverton-Holt}\\ \dfrac{\log(\alpha_s \phi_{eq,s})}{\beta_s\phi_{eq,s}} & \textrm{Ricker} \end{cases}$"
Initial abundance,"$N_{y=1,m=1,a,r,s} = R_{\textrm{eq},s}\exp(x^{\textrm{Req}}_{a,s}) \times \textrm{NPR}^{\textrm{eq}}_{m=1,a,r,s}$"
"Fishing mortality by time, age, fleet, region, stock","$F_{y,m,a,f,r,s} = q^F_{f,s}s_{y,m,a,f,s}F_{y,m,f,r}$"
Total mortality (instantaneous per season),"$Z_{y,m,a,r,s} = \Delta_m M_{y,a,s} + \sum_f F_{y,m,a,f,r,s}$"
Seasonal abundance without incoming recruitment (after survival and movement),"$N_{y,m,a,r',s} = \sum_r N_{y,m-1,a,r,s}\exp(-Z_{y,m-1,a,r,s}) \textrm{mov}_{y,m,a,r,r',s}$"
Potential spawners (PS),"$N^{\textrm{PS}}_{y,a,r,s} = N_{y,m = m_\textrm{sp},a,r,s}\exp(-\Delta_\textrm{sp}Z_{y,m=m_\textrm{sp},a,r,s})m_{y,a,s}$"
Active spawners,"$N^{\textrm{S}}_{y,a,r,s} = N^{\textrm{PS}}_{y,m = m_{\textrm{sp}},a,r,s}\times n_{r,s}$"
Spawning output ,"$S_{y,r,s} = \sum_a N^{\textrm{S}}_{y,a,r,s} f_{y,a,s}$"
Recruitment: Beverton-Holt,"$R_{y,s} = \dfrac{\alpha_s \sum_r S_{y,r,s}}{1 + \beta_s \sum_r S_{y,r,s}}\exp(x^R_{y,s})$"
Recruitment: Ricker,"$R_{y,s} = \alpha_s \sum_r S_{y,r,s} \exp(-\beta_s \times \sum_r S_{y,r,s})\exp(x^R_{y,s})$"
Seasonal abundance (incoming recruitment and advancing age class when $m = m_{\textrm{rec}}$),"$N_{y,m,a,r',s} = \begin{cases} R_{y,s} \textrm{mov}_{y,m,1,r,r',s} & a = 1\\ \sum_r N_{y,m-1,a-1,r,s}\exp(-Z_{y,m-1,a-1,r,s}) \textrm{mov}_{y,m,a,r,r',s} & a = 2, \ldots, A-1\\ \sum_{a'=A-1}^A\sum_r N_{y,m-1,a',r,s}\exp(-Z_{y,m-1,a',r,s})\textrm{mov}_{y,m,a,r,r',s} & a = A\end{cases}$"
